entrezID,acronym,isAstrocyteEnriched,isOligodendrocyteEnriched,isNeuronEnriched,isGoodGeneBrain,isPersistent
12802,Cnr2,0,0,0,1,1
12805,Cntn1,0,1,0,1,1
12810,Coch,0,0,1,1,1
12814,Col11a1,0,0,0,1,1
12815,Col11a2,0,1,0,1,1
12816,Col12a1,0,0,0,1,1
12817,Col13a1,0,0,0,1,1
12818,Col14a1,0,0,0,1,1
12819,Col15a1,0,0,0,1,1
12822,Col18a1,0,0,0,1,1
12824,Col2a1,0,0,0,1,1
12825,Col3a1,0,0,0,1,1
12826,Col4a1,0,0,0,1,1
12827,Col4a2,0,0,0,1,1
12830,Col4a5,1,0,0,1,1
12831,Col5a1,0,0,0,1,1
12832,Col5a2,1,0,0,1,1
12833,Col6a1,0,0,1,1,1
12837,Col8a1,0,0,1,1,1
12839,Col9a1,0,1,0,1,1
12841,Col9a3,0,1,0,1,1
12842,Col1a1,0,0,0,1,1
12846,Comt,1,0,0,1,1
12854,Cort,0,0,0,1,1
12862,Cox6a2,0,0,1,1,1
12912,Creb1,0,0,0,1,1
12913,Creb3,0,0,0,1,1
12914,Crebbp,0,0,0,1,1
12915,Atf6b,0,0,0,1,1
12918,Crh,0,0,1,1,1
12921,Crhr1,0,0,1,1,0
12922,Crhr2,0,0,0,1,1
12927,Bcar1,0,1,0,1,1
12931,Crlf1,0,0,0,1,1
12939,Pcdha7,0,0,0,1,1
12951,Crx,0,0,0,1,1
12971,Crym,0,0,1,1,1
12977,Csf1,0,1,0,1,0
12978,Csf1r,0,0,0,1,1
12995,Csnk2a1,0,1,0,1,0
13000,Csnk2a2,0,0,0,1,1
13001,Csnk2b,0,0,0,1,1
13010,Cst3,1,0,0,1,1
13017,Ctbp2,1,0,0,1,1
13019,Ctf1,0,0,0,1,0
13040,Ctss,0,1,0,1,1
13047,Cux1,0,0,0,1,1
13048,Cux2,0,0,0,1,1
13075,Cyp19a1,0,0,0,1,1
13123,Cyp7b1,1,0,0,1,1
13131,Dab1,1,0,0,1,1
13134,Dach1,0,0,0,1,1
13162,Slc6a3,0,0,0,1,1
13166,Dbh,0,0,0,1,1
13167,Dbi,1,0,0,1,1
13170,Dbp,1,0,0,1,1
13172,Dbx1,0,0,0,1,1
13176,Dcc,0,0,0,1,1
13180,Pcbd1,0,0,0,1,1
13193,Dcx,0,0,1,1,1
13195,Ddc,0,1,0,1,1
13198,Ddit3,1,0,0,1,1
13207,Ddx5,0,0,1,1,1
13345,Twist2,0,0,0,1,1
13380,Dkk1,0,0,0,1,1
13386,Dlk1,0,0,0,1,1
13388,Dll1,0,1,0,1,1
13389,Dll3,0,1,0,1,1
13390,Dlx1,0,0,1,1,1
13392,Dlx2,0,0,0,1,1
13393,Dlx3,0,0,0,1,1
13394,Dlx4,0,0,0,1,1
13395,Dlx5,0,0,0,1,1
13396,Dlx6,0,0,0,1,1
13433,Dnmt1,0,0,0,1,1
13434,Trdmt1,1,0,0,1,1
13435,Dnmt3a,0,0,0,1,1
13436,Dnmt3b,0,0,0,1,1
13447,Doc2b,0,0,1,1,1
13488,Drd1,0,0,0,1,1
13489,Drd2,0,0,0,1,1
13490,Drd3,0,0,0,1,1
13491,Drd4,0,0,0,1,1
13492,Drd5,0,0,0,1,1
13494,Drg1,0,0,0,1,1
13506,Dsc2,0,0,0,1,1
13507,Dsc3,0,0,0,1,1
13510,Dsg1a,0,0,0,1,1
13512,Dsg3,0,0,0,1,1
13518,Dst,0,1,0,1,1
13542,Dvl1,0,0,0,1,1
13544,Dvl3,0,0,0,1,1
13555,E2f1,0,0,0,1,1
13557,E2f3,0,1,0,1,1
13559,E2f5,1,0,0,1,1
13590,Lefty1,0,0,0,1,1
13591,Ebf1,0,0,1,1,1
13592,Ebf2,0,0,0,1,1
13593,Ebf3,0,0,1,1,1
13599,Ecel1,0,0,1,1,1
13609,S1pr1,0,0,0,1,1
13618,Ednrb,1,0,0,1,1
13626,Eed,0,0,0,1,0
13636,Efna1,0,1,0,1,1
13637,Efna2,0,0,0,1,1
13638,Efna3,0,0,1,1,1
13639,Efna4,0,0,0,1,1
13640,Efna5,0,0,1,1,1
13642,Efnb2,0,0,1,1,1
13643,Efnb3,0,1,0,1,1
13645,Egf,0,0,0,1,1
13649,Egfr,1,0,0,1,1
13653,Egr1,1,0,0,1,1
13654,Egr2,0,0,1,1,1
13655,Egr3,0,0,1,1,1
13661,Ehf,0,0,0,1,1
13709,Elf1,0,1,0,1,1
13710,Elf3,0,0,0,1,1
13711,Elf5,1,0,0,1,1
13712,Elk1,0,0,0,1,1
13713,Elk3,1,0,0,1,1
13714,Elk4,0,1,0,1,1
13796,Emx1,0,0,0,1,1
13797,Emx2,1,0,0,1,1
13798,En1,0,0,0,1,1
13799,En2,0,1,0,1,1
13800,Enah,1,0,0,1,1
13803,Enc1,0,0,1,1,1
13805,Eng,0,0,0,1,1
13813,Eomes,0,0,0,1,1
13819,Epas1,1,0,0,1,1
13835,Epha1,0,0,0,1,1
13837,Epha3,0,0,1,1,1
13838,Epha4,0,0,1,1,1
13839,Epha5,1,0,1,1,1
13840,Epha6,0,0,0,1,1
13841,Epha7,0,0,1,1,1
13842,Epha8,0,0,1,1,1
13844,Ephb2,0,0,1,1,1
13845,Ephb3,1,0,0,1,1
13846,Ephb4,0,0,0,1,1
13848,Ephb6,0,0,1,1,1
13864,Nr2f6,0,0,0,1,0
13865,Nr2f1,1,0,0,1,1
13866,Erbb2,1,0,0,1,1
13867,Erbb3,0,1,0,1,1
13869,Erbb4,0,1,0,1,0
13874,Ereg,0,0,0,1,1
13875,Erf,0,0,0,1,0
13876,Erg,0,0,0,1,1
13982,Esr1,0,0,1,1,1
13983,Esr2,0,0,0,1,1
13984,Esx1,0,0,0,1,1
14008,Etv2,0,0,0,1,1
14009,Etv1,0,1,0,1,1
14011,Etv6,0,1,1,1,1
14020,Evi5,1,0,0,1,1
14025,Bcl11a,0,0,1,1,1
14026,Evl,0,0,1,1,1
14029,Evx2,0,0,0,1,1
140477,Dmbx1,0,0,0,1,1
140484,Pofut1,1,0,0,1,1
140489,Bhlhe23,0,0,0,1,1
140492,Kcnn2,1,0,0,1,1
14051,Eya4,1,0,0,1,1
140570,Plxnb2,1,0,0,1,1
140723,Cacng5,0,0,1,1,1
14073,Faah,0,0,0,1,1
140741,Gpr6,0,0,1,1,1
14083,Ptk2,0,1,0,1,1
140919,Slc17a6,0,0,1,1,1
14102,Fas,0,0,0,1,1
14106,Foxh1,0,0,0,1,1
14107,Fat1,1,0,0,1,1
14133,Fcna,0,0,0,1,1
14134,Fcnb,0,0,0,1,1
14164,Fgf1,1,0,0,1,1
14165,Fgf10,0,0,0,1,1
14167,Fgf12,0,0,1,1,1
14169,Fgf14,0,0,1,1,1
14170,Fgf15,0,0,0,1,1
14171,Fgf17,0,0,0,1,1
14172,Fgf18,0,0,0,1,1
14173,Fgf2,0,0,0,1,1
14174,Fgf3,0,0,0,1,1
14175,Fgf4,0,0,0,1,1
14176,Fgf5,0,0,0,1,1
14177,Fgf6,0,0,0,1,1
14178,Fgf7,0,1,0,1,1
14179,Fgf8,0,0,0,1,1
14180,Fgf9,0,0,1,1,0
14181,Fgfbp1,0,0,0,1,1
14182,Fgfr1,1,0,0,1,1
14183,Fgfr2,1,0,0,1,1
14184,Fgfr3,1,0,0,1,1
14186,Fgfr4,0,0,0,1,1
14190,Fgl2,0,0,0,1,1
14205,Figf,0,0,1,1,1
14219,Ctgf,0,0,0,1,1
14233,Foxi1,0,0,0,1,1
14234,Foxc2,0,0,0,1,1
14235,Foxm1,0,0,0,1,1
14236,Foxn2,0,1,0,1,1
14237,Foxd4,0,0,0,1,1
14238,Foxf2,0,0,0,1,0
14239,Foxs1,0,0,0,1,1
14240,Foxb2,0,0,0,1,1
14241,Foxl1,0,0,0,1,1
14247,Fli1,0,0,0,1,1
14254,Flt1,0,0,0,1,1
14255,Flt3,0,0,0,1,1
14257,Flt4,0,0,0,1,1
